ID,Round,Tframe,home,away,hgoal,agoal,hhgoal,ahgoal,SecHome,SecAway
61,1,2024-08-09,Groningen,NACBreda,4,1,3,0,1,1
57,1,2024-08-10,PSV,Waalwijk,5,1,3,0,2,1
58,1,2024-08-10,AlmereCity,AZAlkmaar,0,1,0,1,0,0
59,1,2024-08-10,Nijmegen,Twente,1,2,1,1,0,1
60,1,2024-08-10,Feyenoord,WillemII,1,1,1,0,0,1
53,1,2024-08-11,Ajax,Heerenveen,1,0,1,0,0,0
54,1,2024-08-11,G.A.Eagles,Sittard,0,2,0,0,0,2
55,1,2024-08-11,Utrecht,Zwolle,1,0,1,0,0,0
56,1,2024-08-11,SpartaRotterdam,Heracles,0,0,0,0,0,0
52,2,2024-08-16,Sittard,AlmereCity,3,0,1,0,2,0
70,1,2024-08-16,ManchesterUtd,Fulham,1,0,0,0,1,0
48,2,2024-08-17,Waalwijk,Groningen,1,2,0,1,1,1
49,2,2024-08-17,AZAlkmaar,Nijmegen,1,0,1,0,0,0
50,2,2024-08-17,Twente,SpartaRotterdam,1,1,0,0,1,1
51,2,2024-08-17,Heerenveen,Utrecht,1,1,0,1,1,0
64,1,2024-08-17,WestHam,AstonVilla,1,2,1,1,0,1
65,1,2024-08-17,Arsenal,Wolves,2,0,1,0,1,0
66,1,2024-08-17,Everton,Brighton,0,3,0,1,0,2
67,1,2024-08-17,Newcastle,Southampton,1,0,1,0,0,0
68,1,2024-08-17,Nottingham,Bournemouth,1,1,1,0,0,1
69,1,2024-08-17,Ipswich,Liverpool,0,2,0,0,0,2
44,2,2024-08-18,NACBreda,Ajax,2,1,0,0,2,1
45,2,2024-08-18,WillemII,G.A.Eagles,2,0,2,0,0,0
46,2,2024-08-18,Zwolle,Feyenoord,1,5,0,1,1,4
47,2,2024-08-18,Heracles,PSV,1,3,1,0,0,3
62,1,2024-08-18,Chelsea,ManchesterCity,0,2,0,1,0,1
63,1,2024-08-18,Brentford,CrystalPalace,2,1,1,0,1,1
61,1,2024-08-19,Leicester,Tottenham,1,1,0,1,1,0
41,3,2024-08-24,NACBreda,Utrecht,1,2,1,0,0,2
42,3,2024-08-24,AlmereCity,PSV,1,7,0,2,1,5
43,3,2024-08-24,Nijmegen,Zwolle,1,0,0,0,1,0
54,2,2024-08-24,AstonVilla,Arsenal,0,2,0,0,0,2
55,2,2024-08-24,CrystalPalace,WestHam,0,2,0,0,0,2
56,2,2024-08-24,Fulham,Leicester,2,1,1,1,1,0
57,2,2024-08-24,ManchesterCity,Ipswich,4,1,3,1,1,0
58,2,2024-08-24,Southampton,Nottingham,0,1,0,0,0,1
59,2,2024-08-24,Tottenham,Everton,4,0,2,0,2,0
60,2,2024-08-24,Brighton,ManchesterUtd,2,1,1,0,1,1
37,3,2024-08-25,G.A.Eagles,Waalwijk,2,0,1,0,1,0
38,3,2024-08-25,Heracles,WillemII,1,1,1,1,0,0
39,3,2024-08-25,SpartaRotterdam,Feyenoord,1,1,1,0,0,1
40,3,2024-08-25,Groningen,AZAlkmaar,0,0,0,0,0,0
51,2,2024-08-25,Liverpool,Brentford,2,0,1,0,1,0
52,2,2024-08-25,Bournemouth,Newcastle,1,1,1,0,0,1
53,2,2024-08-25,Wolves,Chelsea,2,6,2,2,0,4
36,4,2024-08-30,Waalwijk,AZAlkmaar,0,3,0,2,0,1
32,4,2024-08-31,WillemII,SpartaRotterdam,1,2,0,0,1,2
33,4,2024-08-31,Heerenveen,NACBreda,4,0,0,0,4,0
34,4,2024-08-31,Sittard,Nijmegen,0,3,0,2,0,1
35,4,2024-08-31,AlmereCity,Groningen,1,1,1,0,0,1
44,3,2024-08-31,WestHam,ManchesterCity,1,3,1,2,0,1
45,3,2024-08-31,Brentford,Southampton,3,1,1,0,2,1
46,3,2024-08-31,Everton,Bournemouth,2,3,0,0,2,3
47,3,2024-08-31,Ipswich,Fulham,1,1,1,1,0,0
48,3,2024-08-31,Leicester,AstonVilla,1,2,0,1,1,1
49,3,2024-08-31,Nottingham,Wolves,1,1,1,1,0,0
50,3,2024-08-31,Arsenal,Brighton,1,1,1,0,0,1
29,4,2024-09-01,PSV,G.A.Eagles,3,0,2,0,1,0
30,4,2024-09-01,Zwolle,Heracles,3,0,1,0,2,0
31,4,2024-09-01,Utrecht,Twente,2,1,1,1,1,0
41,3,2024-09-01,ManchesterUtd,Liverpool,0,3,0,2,0,1
42,3,2024-09-01,Chelsea,CrystalPalace,1,1,1,0,0,1
43,3,2024-09-01,Newcastle,Tottenham,2,1,1,0,1,1
24,5,2024-09-14,AZAlkmaar,Heerenveen,9,1,2,1,7,0
